frame: 9664, weight :285
frame: 2333, weight :268
frame: 9512, weight :262
frame: 4284, weight :258
frame: 1328, weight :257
frame: 2041, weight :239
frame: 9730, weight :238
frame: 1017, weight :234
frame: 3851, weight :229
frame: 2138, weight :224
frame: 3743, weight :223
frame: 7204, weight :220
frame: 717, weight :218
frame: 11073, weight :216
frame: 1889, weight :213
frame: 6499, weight :211
frame: 6546, weight :210
frame: 5172, weight :210
frame: 7034, weight :206
frame: 7083, weight :203
frame: 5077, weight :201
frame: 872, weight :201
frame: 3794, weight :199
frame: 8153, weight :199
frame: 9611, weight :198
frame: 2189, weight :198
frame: 7267, weight :196
frame: 2088, weight :195
frame: 11162, weight :195
frame: 4808, weight :194
frame: 2285, weight :193
frame: 9929, weight :191
frame: 6963, weight :190
frame: 6612, weight :189
frame: 2236, weight :187
frame: 4437, weight :184
frame: 10238, weight :184
frame: 2430, weight :183
frame: 2385, weight :182
frame: 10296, weight :182
frame: 6682, weight :179
frame: 823, weight :179
frame: 5869, weight :178
frame: 3701, weight :176
frame: 7917, weight :176
frame: 8050, weight :176
frame: 6002, weight :175
frame: 1168, weight :175
frame: 11229, weight :175
frame: 4388, weight :174
frame: 4535, weight :173
frame: 4487, weight :172
frame: 10120, weight :172
frame: 1067, weight :170
frame: 4870, weight :169
frame: 5639, weight :169
frame: 4339, weight :168
frame: 7990, weight :167
frame: 5757, weight :167
frame: 4768, weight :166
frame: 6738, weight :165
frame: 1988, weight :164
frame: 2547, weight :163
frame: 1225, weight :163
frame: 764, weight :162
frame: 9213, weight :161
frame: 4691, weight :158
frame: 9439, weight :158
frame: 2488, weight :156
frame: 2733, weight :153
frame: 5576, weight :153
frame: 1590, weight :151
frame: 6557, weight :151
frame: 8304, weight :151
frame: 9268, weight :150
frame: 1936, weight :149
frame: 9327, weight :147
frame: 1686, weight :146
frame: 2594, weight :144
frame: 6556, weight :139
frame: 1274, weight :138
frame: 6895, weight :138
frame: 964, weight :133
frame: 1123, weight :131
frame: 8208, weight :130
frame: 918, weight :129
frame: 2651, weight :126
frame: 1640, weight :114
frame: 6566, weight :112
frame: 10241, weight :102
frame: 6559, weight :100
frame: 1734, weight :97
frame: 2698, weight :96
frame: 6567, weight :95
frame: 10240, weight :94
frame: 6565, weight :94
frame: 6568, weight :88
frame: 6558, weight :87
frame: 6807, weight :83
frame: 10242, weight :83
frame: 6560, weight :83
frame: 6855, weight :80
frame: 6856, weight :78
frame: 6854, weight :77
frame: 10268, weight :77
frame: 6812, weight :76
frame: 6805, weight :75
frame: 6808, weight :75
frame: 10244, weight :75
frame: 6806, weight :74
frame: 6815, weight :73
frame: 10239, weight :73
frame: 6555, weight :73
frame: 10243, weight :73
frame: 6813, weight :72
frame: 6816, weight :72
frame: 6817, weight :72
frame: 10269, weight :71
frame: 6814, weight :71
frame: 6810, weight :71
frame: 6803, weight :71
frame: 6809, weight :70
frame: 6853, weight :70
frame: 10267, weight :69
frame: 6818, weight :68
frame: 6811, weight :67
frame: 6804, weight :67
frame: 6851, weight :65
frame: 6852, weight :65
frame: 6819, weight :65
frame: 6857, weight :65
frame: 6802, weight :63
frame: 6840, weight :61
frame: 6839, weight :61
frame: 6838, weight :61
frame: 6820, weight :60
frame: 6821, weight :60
frame: 6841, weight :59
frame: 6842, weight :59
frame: 6850, weight :58
frame: 6822, weight :58
frame: 6837, weight :57
frame: 6843, weight :56
frame: 6863, weight :55
frame: 6847, weight :55
frame: 6836, weight :54
frame: 6845, weight :54
frame: 6801, weight :54
frame: 6848, weight :53
frame: 6844, weight :53
frame: 6827, weight :52
frame: 6846, weight :52
frame: 6829, weight :51
frame: 6828, weight :51
frame: 6862, weight :51
frame: 6826, weight :51
frame: 6834, weight :51
frame: 6823, weight :51
frame: 6849, weight :51
frame: 6830, weight :50
frame: 6831, weight :50
frame: 6832, weight :50
frame: 6833, weight :50
frame: 6825, weight :50
frame: 6835, weight :50
frame: 6824, weight :50
frame: 6800, weight :48
frame: 8169, weight :47
frame: 8170, weight :47
frame: 5682, weight :46
frame: 6759, weight :45
frame: 6758, weight :45
frame: 6757, weight :44
frame: 6760, weight :44
frame: 8168, weight :44
frame: 8167, weight :44
frame: 5640, weight :44
frame: 6767, weight :44
frame: 6766, weight :44
frame: 5641, weight :43
frame: 6762, weight :43
frame: 6763, weight :43
frame: 2231, weight :43
frame: 6664, weight :43
frame: 6761, weight :43
